freq	Eq_Tx
4.00000000000000000E9	6.09865047269174898E-4
4.01503759398496296E9	6.18168456750553830E-4
4.03007518796992503E9	6.26799149979734427E-4
4.04511278195488622E9	6.35768165072248070E-4
4.06015037593985006E9	6.45087121368004546E-4
4.07518796992481214E9	6.54768248720413837E-4
4.09022556390977599E9	6.64824418716060705E-4
4.10526315789473806E9	6.75269177952466926E-4
4.12030075187969924E9	6.86116783511220873E-4
4.13533834586466220E9	6.97382240775510986E-4
4.15037593984962516E9	7.09081343751842308E-4
4.16541353383458635E9	7.21230718069663013E-4
4.18045112781955019E9	7.33847866845310204E-4
4.19548872180451315E9	7.46951219612925144E-4
4.21052631578947434E9	7.60560184540400286E-4
4.22556390977443730E9	7.74695204166665441E-4
4.24060150375940026E9	7.89377814916004450E-4
4.25563909774436233E9	8.04630710665518656E-4
4.27067669172932352E9	8.20477810665405549E-4
4.28571428571428648E9	8.36944332135921698E-4
4.30075187969925032E9	8.54056867892771621E-4
4.31578947368421151E9	8.71843469381420810E-4
4.33082706766917358E9	8.90333735533636172E-4
4.34586466165413743E9	9.09558907894658475E-4
4.36090225563909861E9	9.29551972507880286E-4
4.37593984962406246E9	9.50347769085830052E-4
4.39097744360902453E9	9.71983108042548238E-4
4.40601503759398661E9	9.94496896012744891E-4
4.42105263157894957E9	1.01793027053836127E-3
4.43609022556391164E9	1.04232674466356467E-3
4.45112781954887282E9	1.06773236224577683E-3
4.46616541353383667E9	1.09419586486294640E-3
4.48120300751879874E9	1.12176887127807334E-3
4.49624060150376170E9	1.15050607050874598E-3
4.51127819548872289E9	1.18046542964749679E-3
4.52631578947368673E9	1.21170841768487136E-3
4.54135338345864881E9	1.24430024670413375E-3
4.55639097744361088E9	1.27831013194665943E-3
4.57142857142857473E9	1.31381157238957047E-3
4.58646616541353591E9	1.35088265363439941E-3
4.60150375939849887E9	1.38960637508062801E-3
4.61654135338346094E9	1.43007100355012162E-3
4.63157894736842302E9	1.47237045574082903E-3
4.64661654135338598E9	1.51660471212595160E-3
4.66165413533834894E9	1.56288026517488077E-3
4.67669172932331101E9	1.61131060506307655E-3
4.69172932330827308E9	1.66201674636009122E-3
4.70676691729323515E9	1.71512779954302452E-3
4.72180451127819900E9	1.77078159158074988E-3
4.73684210526316107E9	1.82912534027724938E-3
4.75187969924812315E9	1.89031638755566211E-3
4.76691729323308522E9	1.95452299741526847E-3
4.78195488721804729E9	2.02192522490733584E-3
4.79699248120301025E9	2.09271586316076519E-3
4.81203007518797321E9	2.16710147625611826E-3
4.82706766917293528E9	2.24530352660282118E-3
4.84210526315789913E9	2.32755960643505500E-3
4.85714285714286031E9	2.41412478411828468E-3
4.87218045112782239E9	2.50527307716584158E-3
4.88721804511278446E9	2.60129906522031362E-3
4.90225563909774742E9	2.70251965777979031E-3
4.91729323308270949E9	2.80927603316351870E-3
4.93233082706767245E9	2.92193576714231718E-3
4.94736842105263541E9	3.04089517183740643E-3
4.96240601503759837E9	3.16658186794712115E-3
4.97744360902255956E9	3.29945761613688004E-3
4.99248120300752252E9	3.44002143656429382E-3
5.00751879699248548E9	3.58881304906230891E-3
5.02255639097744844E9	3.74641667052570160E-3
5.03759398496241051E9	3.91346521060696162E-3
5.05263157894737169E9	4.09064491200484959E-3
5.06766917293233465E9	4.27870048751059429E-3
5.08270676691729761E9	4.47844081266622318E-3
5.09774436090225969E9	4.69074524050319042E-3
5.11278195488722176E9	4.91657061350640845E-3
5.12781954887218472E9	5.15695905784356778E-3
5.14285714285714679E9	5.41304665619009562E-3
5.15789473684210797E9	5.68607310838994273E-3
5.17293233082707271E9	5.97739250393632915E-3
5.18796992481203478E9	6.28848534714592233E-3
5.20300751879699597E9	6.62097199522488911E-3
5.21804511278195982E9	6.97662769157959062E-3
5.23308270676692100E9	7.35739940211821342E-3
5.24812030075188574E9	7.76542469142475511E-3
5.26315789473684781E9	8.20305290911516316E-3
5.27819548872181077E9	8.67286899506068920E-3
5.29323308270677195E9	9.17772025621663978E-3
5.30827067669173402E9	9.72074651835963444E-3
5.32330827067669698E9	1.03054141140665401E-2
5.33834586466165906E9	1.09355542348253554E-2
