freq	Eq_Tx
4.00000000000000000E9	1.31462876743609369E-3
4.01503759398496296E9	1.33834635126230550E-3
4.03007518796992503E9	1.36298581294712573E-3
4.04511278195488622E9	1.38858390794375564E-3
4.06015037593985006E9	1.41517936050056825E-3
4.07518796992481214E9	1.44281297643325379E-3
4.09022556390977599E9	1.47152776359422677E-3
4.10526315789473806E9	1.50136906060569064E-3
4.12030075187969924E9	1.53238467446917515E-3
4.13533834586466220E9	1.56462502771730483E-3
4.15037593984962516E9	1.59814331582713587E-3
4.16541353383458635E9	1.63299567567770088E-3
4.18045112781955019E9	1.66924136589841998E-3
4.19548872180451315E9	1.70694296003011603E-3
4.21052631578947434E9	1.74616655349777572E-3
4.22556390977443730E9	1.78698198548209941E-3
4.24060150375940026E9	1.82946307687196441E-3
4.25563909774436233E9	1.87368788558278232E-3
4.27067669172932352E9	1.91973898064122905E-3
4.28571428571428648E9	1.96770373656013331E-3
4.30075187969925032E9	2.01767464966632160E-3
4.31578947368421151E9	2.06974967819260414E-3
4.33082706766917358E9	2.12403260811173800E-3
4.34586466165413743E9	2.18063344687161775E-3
4.36090225563909861E9	2.23966884739066696E-3
4.37593984962406246E9	2.30126256489216630E-3
4.39097744360902453E9	2.36554594939885776E-3
4.40601503759398661E9	2.43265847697639481E-3
4.42105263157894957E9	2.50274832310838979E-3
4.43609022556391164E9	2.57597298191078572E-3
4.45112781954887282E9	2.65249993525287753E-3
4.46616541353383667E9	2.73250737624812112E-3
4.48120300751879874E9	2.81618499201883798E-3
4.49624060150376170E9	2.90373481112135323E-3
4.51127819548872289E9	2.99537212155927346E-3
4.52631578947368673E9	3.09132646590742466E-3
4.54135338345864881E9	3.19184272072945641E-3
4.55639097744361088E9	3.29718226820766436E-3
4.57142857142857473E9	3.40762426871800450E-3
4.58646616541353591E9	3.52346704398810306E-3
4.60150375939849887E9	3.64502958148580403E-3
4.61654135338346094E9	3.77265317180627147E-3
4.63157894736842302E9	3.90670319207200922E-3
4.64661654135338598E9	4.04757104975721127E-3
4.66165413533834894E9	4.19567630289572868E-3
4.67669172932331101E9	4.35146897436613944E-3
4.69172932330827308E9	4.51543207988104811E-3
4.70676691729323515E9	4.68808439147002076E-3
4.72180451127819900E9	4.86998346066168253E-3
4.73684210526316107E9	5.06172892827424370E-3
4.75187969924812315E9	5.26396615074971930E-3
4.76691729323308522E9	5.47739017635694658E-3
4.78195488721804729E9	5.70275010838683460E-3
4.79699248120301025E9	5.94085389671798936E-3
4.81203007518797321E9	6.19257360391016665E-3
4.82706766917293528E9	6.45885119733499025E-3
4.84210526315789913E9	6.74070492486740225E-3
4.85714285714286031E9	7.03923633840782337E-3
