freq	Eq_Tx
4.00000000000000000E9	4.83149694979217426E-4
4.01503759398496296E9	4.96886897872050337E-4
4.03007518796992503E9	5.11210240301943397E-4
4.04511278195488622E9	5.26148495850709175E-4
4.06015037593985006E9	5.41732120156865005E-4
4.07518796992481214E9	5.57993360987770970E-4
4.09022556390977599E9	5.74966376448301375E-4
4.10526315789473806E9	5.92687361988402550E-4
4.12030075187969924E9	6.11194686929418474E-4
4.13533834586466220E9	6.30529041294539461E-4
4.15037593984962516E9	6.50733593800777310E-4
4.16541353383458635E9	6.71854161947102391E-4
4.18045112781955019E9	6.93939395220227873E-4
4.19548872180451315E9	7.17040972533764620E-4
4.21052631578947434E9	7.41213815121558017E-4
4.22556390977443730E9	7.66516316219808314E-4
4.24060150375940026E9	7.93010589000046018E-4
4.25563909774436233E9	8.20762734354502932E-4
4.27067669172932352E9	8.49843130289385584E-4
4.28571428571428648E9	8.80326744852189513E-4
4.30075187969925032E9	9.12293474706970464E-4
4.31578947368421151E9	9.45828511680980810E-4
4.33082706766917358E9	9.81022739834848601E-4
4.34586466165413743E9	1.01797316586583886E-3
4.36090225563909861E9	1.05678338593543519E-3
4.37593984962406246E9	1.09756409232754448E-3
4.39097744360902453E9	1.14043362369372514E-3
4.40601503759398661E9	1.18551856302577896E-3
4.42105263157894957E9	1.23295438793352252E-3
4.43609022556391164E9	1.28288617827890827E-3
4.45112781954887282E9	1.33546938675809868E-3
4.46616541353383667E9	1.39087067861505798E-3
4.48120300751879874E9	1.44926884733839634E-3
4.49624060150376170E9	1.51085581393389745E-3
4.51127819548872289E9	1.57583771819560936E-3
4.52631578947368673E9	1.64443611132749212E-3
4.54135338345864881E9	1.71688926030566380E-3
4.55639097744361088E9	1.79345357553542750E-3
4.57142857142857473E9	1.87440517466334056E-3
4.58646616541353591E9	1.96004159686852941E-3
4.60150375939849887E9	2.05068368360219866E-3
4.61654135338346094E9	2.14667764359491242E-3
4.63157894736842302E9	2.24839732202869147E-3
4.64661654135338598E9	2.35624669611604043E-3
4.66165413533834894E9	2.47066262196595998E-3
4.67669172932331101E9	2.59211786059281346E-3
4.69172932330827308E9	2.72112441428518093E-3
4.70676691729323515E9	2.85823720834561756E-3
4.72180451127819900E9	3.00405815750285798E-3
4.73684210526316107E9	3.15924066115137148E-3
4.75187969924812315E9	3.32449457706906504E-3
4.76691729323308522E9	3.50059172948815966E-3
4.78195488721804729E9	3.68837201445562357E-3
4.79699248120301025E9	3.88875017342244789E-3
4.81203007518797321E9	4.10272331509831645E-3
4.82706766917293528E9	4.33137927592363514E-3
4.84210526315789913E9	4.57590592124832352E-3
4.85714285714286031E9	4.83760150263784539E-3
4.87218045112782239E9	5.11788620189394106E-3
4.88721804511278446E9	5.41831500961675427E-3
4.90225563909774742E9	5.74059210575727175E-3
4.91729323308270949E9	6.08658693191343669E-3
4.93233082706767245E9	6.45835217049287102E-3
4.94736842105263541E9	6.85814387469939479E-3
4.96240601503759837E9	7.28844402604194119E-3
