freq	Eq_Tx
4.00000000000000000E9	6.70514997312717576E-4
4.01503759398496296E9	6.95070984686939575E-4
4.03007518796992503E9	7.20853340777211038E-4
4.04511278195488622E9	7.47933979787681746E-4
4.06015037593985006E9	7.76389717297613302E-4
4.07518796992481214E9	8.06302647276375062E-4
4.09022556390977599E9	8.37760551526642949E-4
4.10526315789473806E9	8.70857344635535924E-4
4.12030075187969924E9	9.05693557830920604E-4
4.13533834586466220E9	9.42376865497027794E-4
4.15037593984962516E9	9.81022658501117739E-4
4.16541353383458635E9	1.02175466892346556E-3
4.18045112781955019E9	1.06470565127709005E-3
4.19548872180451315E9	1.11001812585350046E-3
4.21052631578947434E9	1.15784519044719314E-3
4.22556390977443730E9	1.20835140739793623E-3
4.24060150375940026E9	1.26171377366128201E-3
4.25563909774436233E9	1.31812278248004566E-3
4.27067669172932352E9	1.37778358619630126E-3
4.28571428571428648E9	1.44091727082915488E-3
4.30075187969925032E9	1.50776225426179122E-3
4.31578947368421151E9	1.57857582125303320E-3
4.33082706766917358E9	1.65363581002731674E-3
4.34586466165413743E9	1.73324246693552375E-3
4.36090225563909861E9	1.81772048763251282E-3
4.37593984962406246E9	1.90742126542463453E-3
4.39097744360902453E9	2.00272536993298678E-3
4.40601503759398661E9	2.10404528202531482E-3
4.42105263157894957E9	2.21182841416198928E-3
4.43609022556391164E9	2.32656044889096147E-3
4.45112781954887282E9	2.44876903231491294E-3
4.46616541353383667E9	2.57902786396989470E-3
4.48120300751879874E9	2.71796122980413823E-3
4.49624060150376170E9	2.86624903089643635E-3
4.51127819548872289E9	3.02463236731676144E-3
4.52631578947368673E9	3.19391974422238079E-3
4.54135338345864881E9	3.37499397602500961E-3
4.55639097744361088E9	3.56881987441760362E-3
4.57142857142857473E9	3.77645281738303096E-3
4.58646616541353591E9	3.99904830921311039E-3
4.60150375939849887E9	4.23787265627555509E-3
4.61654135338346094E9	4.49431490003074963E-3
4.63157894736842302E9	4.76990016790100579E-3
4.64661654135338598E9	5.06630462437414231E-3
4.66165413533834894E9	5.38537222952829175E-3
4.67669172932331101E9	5.72913354041493772E-3
4.69172932330827308E9	6.09982682288908062E-3
4.70676691729323515E9	6.49992177801958171E-3
4.72180451127819900E9	6.93214622869655450E-3
4.73684210526316107E9	7.39951615905571902E-3
4.75187969924812315E9	7.90536955246130724E-3
4.76691729323308522E9	8.45340453363877486E-3
4.78195488721804729E9	9.04772238771293580E-3
4.79699248120301025E9	9.69287610387373633E-3
4.81203007518797321E9	1.03939251745544126E-2
4.82706766917293528E9	1.11564974724099386E-2
4.84210526315789913E9	1.19868591267964097E-2
4.85714285714286031E9	1.28919934278936776E-2
4.87218045112782239E9	1.38796898982976868E-2
4.88721804511278446E9	1.49586447856153404E-2
4.90225563909774742E9	1.61385743403166826E-2
4.91729323308270949E9	1.74303423430024229E-2
4.93233082706767245E9	1.88461034228730062E-2
4.94736842105263541E9	2.03994637478332308E-2
4.96240601503759837E9	2.21056606425437119E-2
4.97744360902255956E9	2.39817625705853699E-2
4.99248120300752252E9	2.60468906544149270E-2
5.00751879699248548E9	2.83224624389645996E-2
5.02255639097744844E9	3.08324578460785670E-2
5.03759398496241051E9	3.36037061036708318E-2
5.05263157894737169E9	3.66661907158181810E-2
5.06766917293233465E9	4.00533670742742487E-2
5.08270676691729761E9	4.38024838530502247E-2
5.09774436090225969E9	4.79548945734586596E-2
5.11278195488722176E9	5.25563393180706484E-2
5.12781954887218472E9	5.76571681037269101E-2
5.14285714285714679E9	6.33124664773145618E-2
5.15789473684210797E9	6.95820301079774062E-2
5.17293233082707271E9	7.65301183222741876E-2
5.18796992481203478E9	8.42248968442788559E-2
5.20300751879699597E9	9.27374583198651514E-2
5.21804511278195982E9	1.02140287504581728E-1
5.23308270676692100E9	1.12505019958241981E-1
