freq	Eq_Tx
2.00000000000000000E9	1.16316295462213426E-2
2.00300000000000011E9	1.17041759197121298E-2
2.00599999999999978E9	1.17770874323085972E-2
2.00899999999999990E9	1.18503655673201647E-2
2.01199999999999957E9	1.19240118152400965E-2
2.01499999999999968E9	1.19980276738570502E-2
2.01799999999999979E9	1.20724146483339489E-2
2.02099999999999991E9	1.21471742513246905E-2
2.02400000000000002E9	1.22223080030499509E-2
2.02700000000000014E9	1.22978174314144439E-2
2.03000000000000025E9	1.23737040720970604E-2
2.03300000000000036E9	1.24499694686590279E-2
2.03600000000000003E9	1.25266151726438757E-2
2.03900000000000015E9	1.26036427436853171E-2
2.04199999999999982E9	1.26810537496142439E-2
2.04499999999999993E9	1.27588497665609735E-2
2.04800000000000004E9	1.28370323790752217E-2
2.05099999999999971E9	1.29156031802245663E-2
2.05399999999999983E9	1.29945637717184459E-2
2.05699999999999994E9	1.30739157640150760E-2
2.06000000000000005E9	1.31536607764394242E-2
2.06300000000000017E9	1.32338004373025875E-2
2.06599999999999984E9	1.33143363840114493E-2
2.06899999999999995E9	1.33952702632039844E-2
2.07200000000000006E9	1.34766037308544218E-2
2.07500000000000018E9	1.35583384524094752E-2
2.07800000000000029E9	1.36404761029054966E-2
2.08099999999999996E9	1.37230183670979966E-2
2.08400000000000007E9	1.38059669395916895E-2
2.08699999999999974E9	1.38893235249630953E-2
2.08999999999999986E9	1.39730898378994772E-2
2.09299999999999997E9	1.40572676033272792E-2
2.09600000000000009E9	1.41418585565488808E-2
2.09900000000000020E9	1.42268644433778180E-2
2.10199999999999987E9	1.43122870202731289E-2
2.10499999999999998E9	1.43981280544890833E-2
2.10800000000000010E9	1.44843893242035726E-2
2.11099999999999977E9	1.45710726186695205E-2
2.11399999999999988E9	1.46581797383558166E-2
2.11699999999999999E9	1.47457124950960194E-2
2.12000000000000011E9	1.48336727122344048E-2
2.12300000000000022E9	1.49220622247740820E-2
2.12599999999999989E9	1.50108828795346505E-2
2.12900000000000000E9	1.51001365352970085E-2
2.13200000000000012E9	1.51898250629653919E-2
2.13500000000000023E9	1.52799503457209651E-2
2.13800000000000034E9	1.53705142791773541E-2
2.14100000000000001E9	1.54615187715500091E-2
2.14400000000000013E9	1.55529657438074187E-2
2.14699999999999980E9	1.56448571298416184E-2
2.14999999999999991E9	1.57371948766329317E-2
2.15300000000000002E9	1.58299809444172501E-2
2.15599999999999969E9	1.59232173068531746E-2
2.15899999999999981E9	1.60169059511965761E-2
2.16199999999999992E9	1.61110488784708550E-2
2.16500000000000004E9	1.62056481036463573E-2
2.16800000000000015E9	1.63007056558111540E-2
2.17100000000000026E9	1.63962235783545718E-2
2.17400000000000038E9	1.64922039291442379E-2
2.17700000000000005E9	1.65886487807128891E-2
2.18000000000000016E9	1.66855602204392106E-2
2.18300000000000027E9	1.67829403507350916E-2
2.18599999999999994E9	1.68807912892360856E-2
2.18900000000000006E9	1.69791151689895115E-2
2.19199999999999973E9	1.70779141386466282E-2
2.19499999999999984E9	1.71771903626590228E-2
2.19799999999999995E9	1.72769460214728499E-2
2.20099999999999962E9	1.73771833117289320E-2
2.20399999999999974E9	1.74779044464597155E-2
2.20699999999999985E9	1.75791116552992510E-2
2.20999999999999996E9	1.76808071846764037E-2
2.21300000000000008E9	1.77829932980305694E-2
2.21600000000000019E9	1.78856722760169085E-2
2.21900000000000031E9	1.79888464167162776E-2
2.22199999999999998E9	1.80925180358479132E-2
2.22500000000000009E9	1.81966894669874901E-2
2.22800000000000020E9	1.83013630617764433E-2
2.23099999999999987E9	1.84065411901545728E-2
2.23399999999999999E9	1.85122262405620019E-2
2.23699999999999966E9	1.86184206201823121E-2
2.23999999999999977E9	1.87251267551544065E-2
2.24299999999999988E9	1.88323470908035651E-2
2.24600000000000000E9	1.89400840918758195E-2
2.24900000000000011E9	1.90483402427644744E-2
2.25199999999999978E9	1.91571180477487113E-2
2.25499999999999989E9	1.92664200312215161E-2
2.25800000000000001E9	1.93762487379453718E-2
2.26100000000000012E9	1.94866067332714277E-2
2.26400000000000023E9	1.95974966034024733E-2
