freq	Eq_Tx
4.00000000000000000E9	1.54295049544644880E-2
4.00300000000000011E9	1.54500857688361970E-2
4.00600000000000023E9	1.54708101314726787E-2
4.00899999999999945E9	1.54916786338723478E-2
4.01199999999999957E9	1.55126918719636819E-2
4.01499999999999968E9	1.55338504461385574E-2
4.01799999999999979E9	1.55551549612905404E-2
4.02099999999999991E9	1.55766060268491602E-2
4.02399999999999913E9	1.55982042568150203E-2
4.02699999999999925E9	1.56199502697988724E-2
4.02999999999999936E9	1.56418446890552865E-2
4.03299999999999947E9	1.56638881425214405E-2
4.03599999999999959E9	1.56860812628530888E-2
4.03899999999999970E9	1.57084246874623013E-2
4.04199999999999982E9	1.57309190585554992E-2
4.04499999999999993E9	1.57535650231700508E-2
4.04800000000000004E9	1.57763632332135684E-2
4.05100000000000016E9	1.57993143455016027E-2
4.05400000000000027E9	1.58224190217975158E-2
4.05700000000000038E9	1.58456779288496286E-2
4.06000000000000050E9	1.58690917384316554E-2
4.06300000000000061E9	1.58926611273826013E-2
4.06600000000000072E9	1.59163867776449286E-2
4.06899999999999995E9	1.59402693763063885E-2
4.07200000000000006E9	1.59643096156399356E-2
4.07500000000000018E9	1.59885081931441198E-2
4.07800000000000029E9	1.60128658115840050E-2
4.08100000000000041E9	1.60373831790338173E-2
4.08399999999999963E9	1.60620610089166926E-2
4.08699999999999974E9	1.60869000200481560E-2
4.08999999999999986E9	1.61119009366777188E-2
4.09299999999999997E9	1.61370644885323711E-2
4.09600000000000009E9	1.61623914108581834E-2
4.09899999999999931E9	1.61878824444645653E-2
4.10199999999999942E9	1.62135383357681628E-2
4.10499999999999954E9	1.62393598368359671E-2
4.10799999999999965E9	1.62653477054299533E-2
4.11099999999999977E9	1.62915027050531158E-2
4.11399999999999988E9	1.63178256049922843E-2
4.11699999999999999E9	1.63443171803650200E-2
4.12000000000000011E9	1.63709782121651282E-2
4.12300000000000022E9	1.63978094873088587E-2
4.12600000000000033E9	1.64248117986810094E-2
4.12899999999999956E9	1.64519859451821970E-2
4.13199999999999967E9	1.64793327317761751E-2
4.13499999999999979E9	1.65068529695380040E-2
4.13799999999999990E9	1.65345474757008648E-2
4.14100000000000001E9	1.65624170737056242E-2
4.14400000000000013E9	1.65904625932492000E-2
4.14700000000000024E9	1.66186848703346857E-2
4.15000000000000036E9	1.66470847473190520E-2
4.15300000000000047E9	1.66756630729657496E-2
4.15600000000000058E9	1.67044207024935365E-2
4.15899999999999981E9	1.67333584976282523E-2
4.16199999999999992E9	1.67624773266536575E-2
4.16500000000000004E9	1.67917780644639913E-2
4.16800000000000015E9	1.68212615926151332E-2
4.17100000000000026E9	1.68509287993787504E-2
4.17399999999999949E9	1.68807805797939081E-2
4.17699999999999960E9	1.69108178357215477E-2
4.17999999999999972E9	1.69410414758985395E-2
4.18299999999999983E9	1.69714524159932711E-2
4.18599999999999994E9	1.70020515786572801E-2
4.18900000000000006E9	1.70328398935854053E-2
4.19200000000000017E9	1.70638182975667796E-2
4.19500000000000028E9	1.70949877345460099E-2
4.19800000000000040E9	1.71263491556770009E-2
4.20100000000000051E9	1.71579035193815788E-2
4.20399999999999974E9	1.71896517914065727E-2
4.20699999999999985E9	1.72215949448835914E-2
4.20999999999999996E9	1.72537339603870743E-2
4.21300000000000008E9	1.72860698259939527E-2
4.21600000000000019E9	1.73186035373434422E-2
4.21899999999999942E9	1.73513360976982223E-2
4.22199999999999953E9	1.73842685180048195E-2
4.22499999999999964E9	1.74174018169556710E-2
4.22799999999999976E9	1.74507370210510460E-2
4.23099999999999987E9	1.74842751646616335E-2
4.23399999999999999E9	1.75180172900928088E-2
4.23700000000000010E9	1.75519644476464620E-2
4.24000000000000021E9	1.75861176956876042E-2
4.24300000000000033E9	1.76204781007087807E-2
4.24600000000000044E9	1.76550467373940312E-2
4.24899999999999967E9	1.76898246886870769E-2
4.25199999999999978E9	1.77248130458573261E-2
4.25499999999999989E9	1.77600129085670222E-2
4.25800000000000001E9	1.77954253849398913E-2
4.26100000000000012E9	1.78310515916291523E-2
4.26400000000000023E9	1.78668926538865125E-2
4.26700000000000035E9	1.79029497056324427E-2
4.27000000000000046E9	1.79392238895278133E-2
4.27300000000000058E9	1.79757163570422285E-2
4.27600000000000069E9	1.80124282685285331E-2
4.27899999999999991E9	1.80493607932937605E-2
4.28200000000000003E9	1.80865151096727717E-2
4.28500000000000014E9	1.81238924051021044E-2
4.28800000000000026E9	1.81614938761938571E-2
4.29100000000000037E9	1.81993207288118630E-2
4.29399999999999959E9	1.82373741781463261E-2
4.29699999999999971E9	1.82756554487910794E-2
4.29999999999999982E9	1.83141657748213360E-2
4.30299999999999994E9	1.83529063998703168E-2
4.30600000000000005E9	1.83918785772091997E-2
4.30899999999999928E9	1.84310835698257236E-2
4.31199999999999939E9	1.84705226505043596E-2
4.31499999999999950E9	1.85101971019089806E-2
4.31799999999999962E9	1.85501082166614450E-2
4.32099999999999973E9	1.85902572974268288E-2
4.32399999999999984E9	1.86306456569947265E-2
4.32699999999999996E9	1.86712746183647349E-2
4.33000000000000007E9	1.87121455148302651E-2
4.33300000000000018E9	1.87532596900640969E-2
4.33600000000000030E9	1.87946184982054643E-2
4.33900000000000041E9	1.88362233039468130E-2
4.34200000000000053E9	1.88780754826217301E-2
4.34500000000000064E9	1.89201764202942102E-2
4.34800000000000075E9	1.89625275138476690E-2
4.35100000000000087E9	1.90051301710764897E-2
4.35400000000000009E9	1.90479858107761824E-2
4.35700000000000021E9	1.90910958628368421E-2
4.36000000000000032E9	1.91344617683356866E-2
4.36300000000000043E9	1.91780849796315844E-2
4.36600000000000055E9	1.92219669604589805E-2
4.36899999999999977E9	1.92661091860245026E-2
4.37199999999999989E9	1.93105131431037647E-2
4.37500000000000000E9	1.93551803301397918E-2
4.37800000000000011E9	1.94001122573392748E-2
4.38100000000000023E9	1.94453104467744176E-2
4.38399999999999945E9	1.94907764324829147E-2
4.38699999999999957E9	1.95365117605685157E-2
4.38999999999999968E9	1.95825179893051970E-2
4.39299999999999979E9	1.96287966892385279E-2
4.39599999999999991E9	1.96753494432922005E-2
4.39899999999999913E9	1.97221778468721332E-2
4.40199999999999925E9	1.97692835079732210E-2
4.40499999999999936E9	1.98166680472871581E-2
4.40799999999999947E9	1.98643330983110511E-2
4.41099999999999959E9	1.99122803074568022E-2
4.41399999999999970E9	1.99605113341614238E-2
4.41699999999999982E9	2.00090278509997255E-2
4.41999999999999993E9	2.00578315437958965E-2
4.42300000000000004E9	2.01069241117390263E-2
4.42600000000000016E9	2.01563072674970423E-2
4.42900000000000027E9	2.02059827373333611E-2
4.43200000000000038E9	2.02559522612229959E-2
4.43500000000000050E9	2.03062175929732014E-2
4.43800000000000061E9	2.03567805003411140E-2
4.44100000000000072E9	2.04076427651565862E-2
4.44399999999999995E9	2.04588061834413981E-2
4.44700000000000006E9	2.05102725655349749E-2
4.45000000000000018E9	2.05620437362176567E-2
4.45300000000000029E9	2.06141215348359230E-2
4.45600000000000041E9	2.06665078154306103E-2
4.45899999999999963E9	2.07192044468634418E-2
4.46199999999999974E9	2.07722133129479536E-2
4.46499999999999986E9	2.08255363125784720E-2
4.46799999999999997E9	2.08791753598632734E-2
4.47100000000000009E9	2.09331323842574157E-2
4.47399999999999931E9	2.09874093306977860E-2
4.47699999999999942E9	2.10420081597380459E-2
4.47999999999999954E9	2.10969308476868500E-2
